City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
314,Asyut,27.181,31.1837,85.1,clear sky,23,0,9.78,EG
315,Embu,-23.6489,-46.8522,76.1,scattered clouds,63,47,4.18,BR
316,Baracoa,20.3467,-74.4958,83.98,overcast clouds,77,100,5.99,CU
317,Mvangue,2.9667,11.5167,65.34,broken clouds,97,66,3.11,CM
318,Nome,64.5011,-165.4064,51.17,light rain,93,90,11.5,US
319,Glendive,47.1053,-104.7125,101.95,clear sky,19,1,9.22,US
320,Ketchikan,55.3422,-131.6461,62.31,light rain,72,65,4.9,US
321,Sungaipenuh,-2.0833,101.3833,61.92,scattered clouds,94,31,2.89,ID
322,Duncan,34.5023,-97.9578,98.49,clear sky,44,1,3.44,US
323,Tuatapere,-46.1333,167.6833,49.82,clear sky,87,8,2.82,NZ
324,Mareeba,-17.0,145.4333,65.12,few clouds,89,12,1.54,AU
325,Rome,34.257,-85.1647,91.62,clear sky,73,1,5.75,US
326,Belmonte,-15.8631,-38.8828,73.9,few clouds,83,18,9.26,BR
327,Namatanai,-3.6667,152.4333,81.73,broken clouds,75,51,4.52,PG
328,Petropavlovsk-Kamchatskiy,53.0452,158.6483,68.59,clear sky,68,0,13.42,RU
329,Sept-Iles,50.2001,-66.3821,61.29,broken clouds,81,57,13.02,CA
330,Tigre,-34.426,-58.5796,50.22,few clouds,49,18,7.0,AR
331,Zholymbet,51.7433,71.7122,54.46,scattered clouds,62,41,6.46,KZ
332,Vonyarcvashegy,46.7574,17.3117,77.34,broken clouds,83,55,0.0,HU
333,Qui Nhon,13.7667,109.2333,83.5,overcast clouds,71,98,14.74,VN
334,Tuy Hoa,13.0833,109.3,83.48,overcast clouds,69,100,16.64,VN
335,Lorengau,-2.0226,147.2712,83.75,clear sky,73,5,4.79,PG
336,Lerwick,60.1545,-1.1494,55.4,scattered clouds,90,37,5.14,GB
337,Amazar,53.858,120.875,61.09,light rain,96,100,1.68,RU
338,San Quintin,30.4833,-115.95,75.88,clear sky,66,1,13.42,MX
339,Mount Isa,-20.7333,139.5,47.97,overcast clouds,71,89,0.0,AU
340,Moose Factory,51.2585,-80.6094,65.5,broken clouds,48,80,6.58,CA
341,Manjacaze,-24.7117,33.8828,57.27,clear sky,84,0,5.23,MZ
342,Tabou,4.423,-7.3528,76.69,overcast clouds,77,100,8.34,CI
343,Traverse City,44.7631,-85.6206,83.14,clear sky,63,1,5.64,US
344,Fortuna,40.5982,-124.1573,88.2,broken clouds,100,75,0.0,US
345,Chara,56.9064,118.2631,65.48,overcast clouds,73,99,0.43,RU
